county,year_month,organism,n_tested,n_positive,pct_positive
Salt Lake,2025-07,Pseudomonas aeruginosa,1974,99,5.0
Salt Lake,2025-08,Pseudomonas aeruginosa,2049,138,6.7
Salt Lake,2025-09,Pseudomonas aeruginosa,2178,129,5.9
Salt Lake,2025-10,Pseudomonas aeruginosa,2523,175,6.9
Salt Lake,2025-11,Pseudomonas aeruginosa,2375,164,6.9
Salt Lake,2025-12,Pseudomonas aeruginosa,2342,159,6.8
Salt Lake,2026-01,Pseudomonas aeruginosa,2257,167,7.4
Salt Lake,2026-02,Pseudomonas aeruginosa,2279,152,6.7
Salt Lake,2026-03,Pseudomonas aeruginosa,2431,177,7.3
Salt Lake,2026-04,Pseudomonas aeruginosa,2153,129,6.0
Utah,2024-05,Pseudomonas aeruginosa,1275,81,6.4
Utah,2024-06,Pseudomonas aeruginosa,1320,78,5.9
Utah,2024-07,Pseudomonas aeruginosa,1234,70,5.7
Utah,2024-08,Pseudomonas aeruginosa,1293,96,7.4
Utah,2024-09,Pseudomonas aeruginosa,1234,84,6.8
Utah,2024-10,Pseudomonas aeruginosa,1365,95,7.0
Utah,2024-11,Pseudomonas aeruginosa,1403,99,7.1
Utah,2024-12,Pseudomonas aeruginosa,1468,106,7.2
Utah,2025-01,Pseudomonas aeruginosa,1373,83,6.0
Utah,2025-02,Pseudomonas aeruginosa,1417,91,6.4
Utah,2025-03,Pseudomonas aeruginosa,1339,80,6.0
Utah,2025-04,Pseudomonas aeruginosa,1360,98,7.2
Utah,2025-05,Pseudomonas aeruginosa,1295,75,5.8
Utah,2025-06,Pseudomonas aeruginosa,1277,80,6.3
Utah,2025-07,Pseudomonas aeruginosa,1311,91,6.9
Utah,2025-08,Pseudomonas aeruginosa,1301,64,4.9
Utah,2025-09,Pseudomonas aeruginosa,1414,93,6.6
Utah,2025-10,Pseudomonas aeruginosa,1350,103,7.6
Utah,2025-11,Pseudomonas aeruginosa,1414,100,7.1
Utah,2025-12,Pseudomonas aeruginosa,1483,107,7.2
Utah,2026-01,Pseudomonas aeruginosa,1374,89,6.5
Utah,2026-02,Pseudomonas aeruginosa,1324,89,6.7
Utah,2026-03,Pseudomonas aeruginosa,1402,78,5.6
Utah,2026-04,Pseudomonas aeruginosa,1372,84,6.1
Washington,2024-05,Pseudomonas aeruginosa,387,28,7.2
Washington,2024-06,Pseudomonas aeruginosa,357,31,8.7
Washington,2024-07,Pseudomonas aeruginosa,369,29,7.9
Washington,2024-08,Pseudomonas aeruginosa,384,34,8.9
Washington,2024-09,Pseudomonas aeruginosa,385,28,7.3
Washington,2024-10,Pseudomonas aeruginosa,385,23,6.0
Washington,2024-11,Pseudomonas aeruginosa,379,22,5.8
Washington,2024-12,Pseudomonas aeruginosa,386,31,8.0
Washington,2025-01,Pseudomonas aeruginosa,361,31,8.6
Washington,2025-02,Pseudomonas aeruginosa,357,21,5.9
Washington,2025-03,Pseudomonas aeruginosa,372,28,7.5
Washington,2025-04,Pseudomonas aeruginosa,359,27,7.5
Washington,2025-05,Pseudomonas aeruginosa,387,20,5.2
Washington,2025-06,Pseudomonas aeruginosa,367,25,6.8
Washington,2025-07,Pseudomonas aeruginosa,366,24,6.6
Washington,2025-08,Pseudomonas aeruginosa,417,26,6.2
Washington,2025-09,Pseudomonas aeruginosa,401,24,6.0
Washington,2025-10,Pseudomonas aeruginosa,400,32,8.0
Washington,2025-11,Pseudomonas aeruginosa,415,31,7.5
Washington,2025-12,Pseudomonas aeruginosa,404,21,5.2
Washington,2026-01,Pseudomonas aeruginosa,409,31,7.6
Washington,2026-02,Pseudomonas aeruginosa,400,30,7.5
Washington,2026-03,Pseudomonas aeruginosa,398,27,6.8
Washington,2026-04,Pseudomonas aeruginosa,396,28,7.1
Salt Lake,2024-05,Enterococcus species,2020,106,5.2
Salt Lake,2024-06,Enterococcus species,1976,113,5.7
Salt Lake,2024-07,Enterococcus species,1938,109,5.6
Salt Lake,2024-08,Enterococcus species,1949,127,6.5
Salt Lake,2024-09,Enterococcus species,1966,113,5.7
Salt Lake,2024-10,Enterococcus species,2046,79,3.9
Salt Lake,2024-11,Enterococcus species,2045,112,5.5
Salt Lake,2024-12,Enterococcus species,2106,109,5.2
Salt Lake,2025-01,Enterococcus species,1925,113,5.9
Salt Lake,2025-02,Enterococcus species,2024,108,5.3
Salt Lake,2025-03,Enterococcus species,1968,105,5.3
Salt Lake,2025-04,Enterococcus species,1909,103,5.4
Salt Lake,2025-05,Enterococcus species,1760,107,6.1
Salt Lake,2025-06,Enterococcus species,1817,91,5.0
Salt Lake,2025-07,Enterococcus species,1765,99,5.6
Salt Lake,2025-08,Enterococcus species,1735,104,6.0
Salt Lake,2025-09,Enterococcus species,1860,93,5.0
Salt Lake,2025-10,Enterococcus species,2054,99,4.8
Salt Lake,2025-11,Enterococcus species,1954,105,5.4
Salt Lake,2025-12,Enterococcus species,1957,105,5.4
Salt Lake,2026-01,Enterococcus species,1860,100,5.4
Salt Lake,2026-02,Enterococcus species,1872,98,5.2
Salt Lake,2026-03,Enterococcus species,1991,98,4.9
Salt Lake,2026-04,Enterococcus species,1834,105,5.7
Utah,2024-05,Enterococcus species,1119,59,5.3
Utah,2024-06,Enterococcus species,1169,76,6.5
Utah,2024-07,Enterococcus species,1088,60,5.5
Utah,2024-08,Enterococcus species,1121,59,5.3
Utah,2024-09,Enterococcus species,1087,65,6.0
Utah,2024-10,Enterococcus species,1202,64,5.3
Utah,2024-11,Enterococcus species,1181,49,4.1
Utah,2024-12,Enterococcus species,1254,65,5.2
Utah,2025-01,Enterococcus species,1124,81,7.2
Utah,2025-02,Enterococcus species,1183,73,6.2
Utah,2025-03,Enterococcus species,1100,72,6.5
Utah,2025-04,Enterococcus species,1170,62,5.3
Utah,2025-05,Enterococcus species,1154,59,5.1
Utah,2025-06,Enterococcus species,1149,71,6.2
Utah,2025-07,Enterococcus species,1216,57,4.7
Utah,2025-08,Enterococcus species,1147,53,4.6
Utah,2025-09,Enterococcus species,1182,64,5.4
Utah,2025-10,Enterococcus species,1110,59,5.3
Utah,2025-11,Enterococcus species,1180,77,6.5
Utah,2025-12,Enterococcus species,1234,73,5.9
Utah,2026-01,Enterococcus species,1159,48,4.1
Utah,2026-02,Enterococcus species,1136,66,5.8
Utah,2026-03,Enterococcus species,1154,75,6.5
Utah,2026-04,Enterococcus species,1184,73,6.2
Washington,2024-05,Enterococcus species,346,16,4.6
Washington,2024-06,Enterococcus species,308,16,5.2
Washington,2024-07,Enterococcus species,324,13,4.0
Washington,2024-08,Enterococcus species,331,24,7.3
Washington,2024-09,Enterococcus species,339,16,4.7
Washington,2024-10,Enterococcus species,271,17,6.3
Washington,2024-11,Enterococcus species,298,20,6.7
Washington,2024-12,Enterococcus species,311,18,5.8
Washington,2025-01,Enterococcus species,326,18,5.5
Washington,2025-02,Enterococcus species,306,17,5.6
Washington,2025-03,Enterococcus species,305,20,6.6
Washington,2025-04,Enterococcus species,303,13,4.3
Washington,2025-05,Enterococcus species,353,18,5.1
Washington,2025-06,Enterococcus species,318,14,4.4
Washington,2025-07,Enterococcus species,319,26,8.2
Washington,2025-08,Enterococcus species,352,20,5.7
Washington,2025-09,Enterococcus species,358,22,6.1
Washington,2025-10,Enterococcus species,294,13,4.4
Washington,2025-11,Enterococcus species,335,19,5.7
Washington,2025-12,Enterococcus species,329,14,4.3
Washington,2026-01,Enterococcus species,333,17,5.1
Washington,2026-02,Enterococcus species,344,11,3.2
Washington,2026-03,Enterococcus species,312,13,4.2
Washington,2026-04,Enterococcus species,313,23,7.3
Salt Lake,2024-05,Streptococcus pneumoniae,960,40,4.2
Salt Lake,2024-06,Streptococcus pneumoniae,914,44,4.8
Salt Lake,2024-07,Streptococcus pneumoniae,905,39,4.3
Salt Lake,2024-08,Streptococcus pneumoniae,975,36,3.7
Salt Lake,2024-09,Streptococcus pneumoniae,1004,46,4.6
Salt Lake,2024-10,Streptococcus pneumoniae,1212,70,5.8
Salt Lake,2024-11,Streptococcus pneumoniae,1181,57,4.8
Salt Lake,2024-12,Streptococcus pneumoniae,1234,58,4.7
Salt Lake,2025-01,Streptococcus pneumoniae,1077,63,5.8
Salt Lake,2025-02,Streptococcus pneumoniae,1131,66,5.8
Salt Lake,2025-03,Streptococcus pneumoniae,1082,52,4.8
Salt Lake,2025-04,Streptococcus pneumoniae,1027,54,5.3
Salt Lake,2025-05,Streptococcus pneumoniae,869,34,3.9
Salt Lake,2025-06,Streptococcus pneumoniae,887,43,4.8
Salt Lake,2025-07,Streptococcus pneumoniae,786,33,4.2
Salt Lake,2025-08,Streptococcus pneumoniae,841,44,5.2
Salt Lake,2025-09,Streptococcus pneumoniae,903,53,5.9
Salt Lake,2025-10,Streptococcus pneumoniae,1190,70,5.9
Salt Lake,2025-11,Streptococcus pneumoniae,1088,54,5.0
Salt Lake,2025-12,Streptococcus pneumoniae,1083,52,4.8
Salt Lake,2026-01,Streptococcus pneumoniae,1103,74,6.7
Salt Lake,2026-02,Streptococcus pneumoniae,1092,44,4.0
Salt Lake,2026-03,Streptococcus pneumoniae,1112,60,5.4
Salt Lake,2026-04,Streptococcus pneumoniae,1005,57,5.7
Utah,2024-05,Streptococcus pneumoniae,548,22,4.0
Utah,2024-06,Streptococcus pneumoniae,553,26,4.7
Utah,2024-07,Streptococcus pneumoniae,514,30,5.8
Utah,2024-08,Streptococcus pneumoniae,572,31,5.4
Utah,2024-09,Streptococcus pneumoniae,554,18,3.2
Utah,2024-10,Streptococcus pneumoniae,690,32,4.6
Utah,2024-11,Streptococcus pneumoniae,675,36,5.3
Utah,2024-12,Streptococcus pneumoniae,703,38,5.4
Utah,2025-01,Streptococcus pneumoniae,626,33,5.3
Utah,2025-02,Streptococcus pneumoniae,668,35,5.2
Utah,2025-03,Streptococcus pneumoniae,571,32,5.6
Utah,2025-04,Streptococcus pneumoniae,644,21,3.3
Utah,2025-05,Streptococcus pneumoniae,548,21,3.8
Utah,2025-06,Streptococcus pneumoniae,499,19,3.8
Utah,2025-07,Streptococcus pneumoniae,580,20,3.4
Utah,2025-08,Streptococcus pneumoniae,603,20,3.3
Utah,2025-09,Streptococcus pneumoniae,586,33,5.6
Utah,2025-10,Streptococcus pneumoniae,600,27,4.5
Utah,2025-11,Streptococcus pneumoniae,721,45,6.2
Utah,2025-12,Streptococcus pneumoniae,710,44,6.2
Utah,2026-01,Streptococcus pneumoniae,642,34,5.3
Utah,2026-02,Streptococcus pneumoniae,634,29,4.6
Utah,2026-03,Streptococcus pneumoniae,634,34,5.4
Utah,2026-04,Streptococcus pneumoniae,664,34,5.1
Washington,2024-05,Streptococcus pneumoniae,162,8,4.9
Washington,2024-06,Streptococcus pneumoniae,147,8,5.4
Washington,2024-07,Streptococcus pneumoniae,145,5,3.4
Washington,2024-08,Streptococcus pneumoniae,151,8,5.3
Washington,2024-09,Streptococcus pneumoniae,183,10,5.5
Washington,2024-10,Streptococcus pneumoniae,146,10,6.8
Washington,2024-11,Streptococcus pneumoniae,171,11,6.4
Washington,2024-12,Streptococcus pneumoniae,181,13,7.2
Washington,2025-01,Streptococcus pneumoniae,189,8,4.2
Washington,2025-02,Streptococcus pneumoniae,157,11,7.0
Washington,2025-03,Streptococcus pneumoniae,180,13,7.2
Washington,2025-04,Streptococcus pneumoniae,162,6,3.7
Washington,2025-05,Streptococcus pneumoniae,185,12,6.5
Washington,2025-06,Streptococcus pneumoniae,149,4,2.7
Washington,2025-07,Streptococcus pneumoniae,134,4,3.0
Washington,2025-08,Streptococcus pneumoniae,153,6,3.9
Washington,2025-09,Streptococcus pneumoniae,195,8,4.1
Washington,2025-10,Streptococcus pneumoniae,179,13,7.3
Washington,2025-11,Streptococcus pneumoniae,175,14,8.0
Washington,2025-12,Streptococcus pneumoniae,193,7,3.6
Washington,2026-01,Streptococcus pneumoniae,196,13,6.6
Washington,2026-02,Streptococcus pneumoniae,213,11,5.2
Washington,2026-03,Streptococcus pneumoniae,164,11,6.7
Washington,2026-04,Streptococcus pneumoniae,180,11,6.1
Salt Lake,2024-05,Haemophilus influenzae,960,23,2.4
Salt Lake,2024-06,Haemophilus influenzae,914,30,3.3
Salt Lake,2024-07,Haemophilus influenzae,905,20,2.2
Salt Lake,2024-08,Haemophilus influenzae,975,31,3.2
Salt Lake,2024-09,Haemophilus influenzae,1004,41,4.1
Salt Lake,2024-10,Haemophilus influenzae,1212,41,3.4
Salt Lake,2024-11,Haemophilus influenzae,1181,41,3.5
Salt Lake,2024-12,Haemophilus influenzae,1234,47,3.8
Salt Lake,2025-01,Haemophilus influenzae,1077,37,3.4
Salt Lake,2025-02,Haemophilus influenzae,1131,52,4.6
Salt Lake,2025-03,Haemophilus influenzae,1082,43,4.0
Salt Lake,2025-04,Haemophilus influenzae,1027,28,2.7
Salt Lake,2025-05,Haemophilus influenzae,869,32,3.7
Salt Lake,2025-06,Haemophilus influenzae,887,29,3.3
Salt Lake,2025-07,Haemophilus influenzae,786,19,2.4
Salt Lake,2025-08,Haemophilus influenzae,841,35,4.2
Salt Lake,2025-09,Haemophilus influenzae,903,34,3.8
Salt Lake,2025-10,Haemophilus influenzae,1190,49,4.1
Salt Lake,2025-11,Haemophilus influenzae,1088,54,5.0
Salt Lake,2025-12,Haemophilus influenzae,1083,49,4.5
Salt Lake,2026-01,Haemophilus influenzae,1103,47,4.3
Salt Lake,2026-02,Haemophilus influenzae,1092,41,3.8
Salt Lake,2026-03,Haemophilus influenzae,1112,39,3.5
Salt Lake,2026-04,Haemophilus influenzae,1005,36,3.6
Utah,2024-05,Haemophilus influenzae,548,21,3.8
Utah,2024-06,Haemophilus influenzae,553,14,2.5
Utah,2024-07,Haemophilus influenzae,514,12,2.3
Utah,2024-08,Haemophilus influenzae,572,19,3.3
Utah,2024-09,Haemophilus influenzae,554,24,4.3
Utah,2024-10,Haemophilus influenzae,690,30,4.3
Utah,2024-11,Haemophilus influenzae,675,29,4.3
Utah,2024-12,Haemophilus influenzae,703,24,3.4
Utah,2025-01,Haemophilus influenzae,626,28,4.5
Utah,2025-02,Haemophilus influenzae,668,23,3.4
Utah,2025-03,Haemophilus influenzae,571,25,4.4
Utah,2025-04,Haemophilus influenzae,644,18,2.8
Utah,2025-05,Haemophilus influenzae,548,20,3.6
Utah,2025-06,Haemophilus influenzae,499,12,2.4
Utah,2025-07,Haemophilus influenzae,580,19,3.3
Utah,2025-08,Haemophilus influenzae,603,22,3.6
Utah,2025-09,Haemophilus influenzae,586,23,3.9
Utah,2025-10,Haemophilus influenzae,600,22,3.7
Utah,2025-11,Haemophilus influenzae,721,38,5.3
Utah,2025-12,Haemophilus influenzae,710,24,3.4
Utah,2026-01,Haemophilus influenzae,642,33,5.1
Utah,2026-02,Haemophilus influenzae,634,30,4.7
Utah,2026-03,Haemophilus influenzae,634,31,4.9
Utah,2026-04,Haemophilus influenzae,664,28,4.2
Washington,2024-05,Haemophilus influenzae,162,2,1.2
Washington,2024-06,Haemophilus influenzae,147,7,4.8
Washington,2024-07,Haemophilus influenzae,145,4,2.8
Washington,2024-08,Haemophilus influenzae,151,2,1.3
Washington,2024-09,Haemophilus influenzae,183,6,3.3
Washington,2024-10,Haemophilus influenzae,146,9,6.2
Washington,2024-11,Haemophilus influenzae,171,6,3.5
Washington,2024-12,Haemophilus influenzae,181,5,2.8
Washington,2025-01,Haemophilus influenzae,189,7,3.7
Washington,2025-02,Haemophilus influenzae,157,4,2.5
Washington,2025-03,Haemophilus influenzae,180,11,6.1
Washington,2025-04,Haemophilus influenzae,162,5,3.1
Washington,2025-05,Haemophilus influenzae,185,4,2.2
Washington,2025-06,Haemophilus influenzae,149,2,1.3
Washington,2025-07,Haemophilus influenzae,134,8,6.0
Washington,2025-08,Haemophilus influenzae,153,7,4.6
Washington,2025-09,Haemophilus influenzae,195,7,3.6
Washington,2025-10,Haemophilus influenzae,179,7,3.9
Washington,2025-11,Haemophilus influenzae,175,6,3.4
Washington,2025-12,Haemophilus influenzae,193,10,5.2
Washington,2026-01,Haemophilus influenzae,196,12,6.1
Washington,2026-02,Haemophilus influenzae,213,6,2.8
Washington,2026-03,Haemophilus influenzae,164,11,6.7
Washington,2026-04,Haemophilus influenzae,180,7,3.9
