county,year_month,organism,drug,n_tested,n_susceptible,pct_susceptible
Salt Lake,2025-10,Pseudomonas aeruginosa,Ceftazidime,184,155,84.2
Salt Lake,2025-10,Pseudomonas aeruginosa,Ciprofloxacin,184,124,67.4
Salt Lake,2025-10,Pseudomonas aeruginosa,Meropenem,184,145,78.8
Salt Lake,2025-10,Pseudomonas aeruginosa,Piperacillin-Tazobactam,184,146,79.3
Salt Lake,2025-10,Staphylococcus aureus,Cephalexin,196,183,93.4
Salt Lake,2025-10,Staphylococcus aureus,Clindamycin,196,163,83.2
Salt Lake,2025-10,Staphylococcus aureus,Doxycycline,196,176,89.8
Salt Lake,2025-10,Staphylococcus aureus,Oxacillin,196,187,95.4
Salt Lake,2025-10,Staphylococcus aureus,TMP-SMX,196,176,89.8
Salt Lake,2025-10,Staphylococcus aureus,Vancomycin,196,185,94.4
Salt Lake,2025-10,Streptococcus pneumoniae,Amoxicillin,70,56,80.0
Salt Lake,2025-10,Streptococcus pneumoniae,Azithromycin,70,39,55.7
Salt Lake,2025-10,Streptococcus pneumoniae,Ceftriaxone,70,63,90.0
Salt Lake,2025-10,Streptococcus pneumoniae,Doxycycline,70,57,81.4
Salt Lake,2025-10,Streptococcus pneumoniae,Levofloxacin,70,65,92.9
Salt Lake,2025-10,Streptococcus pneumoniae,Penicillin,70,53,75.7
Salt Lake,2025-11,Enterococcus species,Ampicillin,137,89,65.0
Salt Lake,2025-11,Enterococcus species,Linezolid,137,120,87.6
Salt Lake,2025-11,Enterococcus species,Nitrofurantoin,137,105,76.6
Salt Lake,2025-11,Enterococcus species,Vancomycin,137,110,80.3
Salt Lake,2025-11,Escherichia coli,Amoxicillin-Clavulanate,629,415,66.0
Salt Lake,2025-11,Escherichia coli,Ampicillin,629,262,41.7
Salt Lake,2025-11,Escherichia coli,Ceftriaxone,629,534,84.9
Salt Lake,2025-11,Escherichia coli,Ciprofloxacin,629,397,63.1
Salt Lake,2025-11,Escherichia coli,Fosfomycin,629,576,91.6
Salt Lake,2025-11,Escherichia coli,Nitrofurantoin,629,558,88.7
Salt Lake,2025-11,Escherichia coli,TMP-SMX,629,450,71.5
Salt Lake,2025-11,Haemophilus influenzae,Amoxicillin,54,35,64.8
Salt Lake,2025-11,Haemophilus influenzae,Amoxicillin-Clavulanate,54,44,81.5
Salt Lake,2025-11,Haemophilus influenzae,Azithromycin,54,44,81.5
Salt Lake,2025-11,Haemophilus influenzae,Ceftriaxone,54,47,87.0
Salt Lake,2025-11,Haemophilus influenzae,Doxycycline,54,46,85.2
Salt Lake,2025-11,Klebsiella pneumoniae,Amoxicillin-Clavulanate,182,131,72.0
Salt Lake,2025-11,Klebsiella pneumoniae,Ceftriaxone,182,134,73.6
Salt Lake,2025-11,Klebsiella pneumoniae,Ciprofloxacin,182,152,83.5
Salt Lake,2025-11,Klebsiella pneumoniae,Ertapenem,182,170,93.4
Salt Lake,2025-11,Klebsiella pneumoniae,Nitrofurantoin,182,52,28.6
Salt Lake,2025-11,MRSA,Clindamycin,113,65,57.5
Salt Lake,2025-11,MRSA,Doxycycline,113,95,84.1
Salt Lake,2025-11,MRSA,Linezolid,113,108,95.6
Salt Lake,2025-11,MRSA,TMP-SMX,113,97,85.8
Salt Lake,2025-11,MRSA,Vancomycin,113,106,93.8
Salt Lake,2025-11,Pseudomonas aeruginosa,Cefepime,178,147,82.6
Salt Lake,2025-11,Pseudomonas aeruginosa,Ceftazidime,178,144,80.9
Salt Lake,2025-11,Pseudomonas aeruginosa,Ciprofloxacin,178,137,77.0
Salt Lake,2025-11,Pseudomonas aeruginosa,Meropenem,178,142,79.8
Salt Lake,2025-11,Pseudomonas aeruginosa,Piperacillin-Tazobactam,178,144,80.9
Salt Lake,2025-11,Staphylococcus aureus,Cephalexin,180,166,92.2
Salt Lake,2025-11,Staphylococcus aureus,Clindamycin,180,145,80.6
Salt Lake,2025-11,Staphylococcus aureus,Doxycycline,180,164,91.1
Salt Lake,2025-11,Staphylococcus aureus,Oxacillin,180,170,94.4
Salt Lake,2025-11,Staphylococcus aureus,TMP-SMX,180,159,88.3
Salt Lake,2025-11,Staphylococcus aureus,Vancomycin,180,170,94.4
Salt Lake,2025-11,Streptococcus pneumoniae,Amoxicillin,54,48,88.9
Salt Lake,2025-11,Streptococcus pneumoniae,Azithromycin,54,32,59.3
Salt Lake,2025-11,Streptococcus pneumoniae,Ceftriaxone,54,49,90.7
Salt Lake,2025-11,Streptococcus pneumoniae,Doxycycline,54,43,79.6
Salt Lake,2025-11,Streptococcus pneumoniae,Levofloxacin,54,53,98.1
Salt Lake,2025-11,Streptococcus pneumoniae,Penicillin,54,43,79.6
Salt Lake,2025-12,Enterococcus species,Ampicillin,134,90,67.2
Salt Lake,2025-12,Enterococcus species,Linezolid,134,127,94.8
Salt Lake,2025-12,Enterococcus species,Nitrofurantoin,134,96,71.6
Salt Lake,2025-12,Enterococcus species,Vancomycin,134,108,80.6
Salt Lake,2025-12,Escherichia coli,Amoxicillin-Clavulanate,634,389,61.4
Salt Lake,2025-12,Escherichia coli,Ampicillin,634,252,39.7
Salt Lake,2025-12,Escherichia coli,Ceftriaxone,634,538,84.9
Salt Lake,2025-12,Escherichia coli,Ciprofloxacin,634,433,68.3
Salt Lake,2025-12,Escherichia coli,Fosfomycin,634,560,88.3
Salt Lake,2025-12,Escherichia coli,Nitrofurantoin,634,563,88.8
Salt Lake,2025-12,Escherichia coli,TMP-SMX,634,465,73.3
Salt Lake,2025-12,Haemophilus influenzae,Amoxicillin,49,30,61.2
Salt Lake,2025-12,Haemophilus influenzae,Amoxicillin-Clavulanate,49,46,93.9
Salt Lake,2025-12,Haemophilus influenzae,Azithromycin,49,37,75.5
Salt Lake,2025-12,Haemophilus influenzae,Ceftriaxone,49,43,87.8
Salt Lake,2025-12,Haemophilus influenzae,Doxycycline,49,39,79.6
Salt Lake,2025-12,Klebsiella pneumoniae,Amoxicillin-Clavulanate,197,149,75.6
Salt Lake,2025-12,Klebsiella pneumoniae,Ceftriaxone,197,159,80.7
Salt Lake,2025-12,Klebsiella pneumoniae,Ciprofloxacin,197,161,81.7
Salt Lake,2025-12,Klebsiella pneumoniae,Ertapenem,197,178,90.4
Salt Lake,2025-12,Klebsiella pneumoniae,Nitrofurantoin,197,67,34.0
Salt Lake,2025-12,MRSA,Clindamycin,125,77,61.6
Salt Lake,2025-12,MRSA,Doxycycline,125,110,88.0
Salt Lake,2025-12,MRSA,Linezolid,125,117,93.6
Salt Lake,2025-12,MRSA,TMP-SMX,125,107,85.6
Salt Lake,2025-12,MRSA,Vancomycin,125,116,92.8
Salt Lake,2025-12,Pseudomonas aeruginosa,Cefepime,174,129,74.1
Salt Lake,2025-12,Pseudomonas aeruginosa,Ceftazidime,174,137,78.7
Salt Lake,2025-12,Pseudomonas aeruginosa,Ciprofloxacin,174,121,69.5
Salt Lake,2025-12,Pseudomonas aeruginosa,Meropenem,174,141,81.0
Salt Lake,2025-12,Pseudomonas aeruginosa,Piperacillin-Tazobactam,174,135,77.6
Salt Lake,2025-12,Staphylococcus aureus,Cephalexin,188,174,92.6
Salt Lake,2025-12,Staphylococcus aureus,Clindamycin,188,140,74.5
Salt Lake,2025-12,Staphylococcus aureus,Doxycycline,188,169,89.9
Salt Lake,2025-12,Staphylococcus aureus,Oxacillin,188,180,95.7
Salt Lake,2025-12,Staphylococcus aureus,TMP-SMX,188,167,88.8
Salt Lake,2025-12,Staphylococcus aureus,Vancomycin,188,183,97.3
Salt Lake,2025-12,Streptococcus pneumoniae,Amoxicillin,52,43,82.7
Salt Lake,2025-12,Streptococcus pneumoniae,Azithromycin,52,28,53.8
Salt Lake,2025-12,Streptococcus pneumoniae,Ceftriaxone,52,45,86.5
Salt Lake,2025-12,Streptococcus pneumoniae,Doxycycline,52,39,75.0
Salt Lake,2025-12,Streptococcus pneumoniae,Levofloxacin,52,44,84.6
Salt Lake,2025-12,Streptococcus pneumoniae,Penicillin,52,38,73.1
Salt Lake,2026-01,Enterococcus species,Ampicillin,142,94,66.2
Salt Lake,2026-01,Enterococcus species,Linezolid,142,137,96.5
Salt Lake,2026-01,Enterococcus species,Nitrofurantoin,142,104,73.2
Salt Lake,2026-01,Enterococcus species,Vancomycin,142,113,79.6
Salt Lake,2026-01,Escherichia coli,Amoxicillin-Clavulanate,612,378,61.8
Salt Lake,2026-01,Escherichia coli,Ampicillin,612,228,37.3
Salt Lake,2026-01,Escherichia coli,Ceftriaxone,612,518,84.6
Salt Lake,2026-01,Escherichia coli,Ciprofloxacin,612,411,67.2
Salt Lake,2026-01,Escherichia coli,Fosfomycin,612,562,91.8
Salt Lake,2026-01,Escherichia coli,Nitrofurantoin,612,556,90.8
Salt Lake,2026-01,Escherichia coli,TMP-SMX,612,446,72.9
Salt Lake,2026-01,Haemophilus influenzae,Amoxicillin,47,36,76.6
Salt Lake,2026-01,Haemophilus influenzae,Amoxicillin-Clavulanate,47,45,95.7
Salt Lake,2026-01,Haemophilus influenzae,Azithromycin,47,44,93.6
Salt Lake,2026-01,Haemophilus influenzae,Ceftriaxone,47,45,95.7
Salt Lake,2026-01,Haemophilus influenzae,Doxycycline,47,42,89.4
Salt Lake,2026-01,Klebsiella pneumoniae,Amoxicillin-Clavulanate,174,127,73.0
Salt Lake,2026-01,Klebsiella pneumoniae,Ceftriaxone,174,135,77.6
Salt Lake,2026-01,Klebsiella pneumoniae,Ciprofloxacin,174,136,78.2
Salt Lake,2026-01,Klebsiella pneumoniae,Ertapenem,174,155,89.1
Salt Lake,2026-01,Klebsiella pneumoniae,Nitrofurantoin,174,58,33.3
Salt Lake,2026-01,MRSA,Clindamycin,112,65,58.0
Salt Lake,2026-01,MRSA,Doxycycline,112,91,81.2
Salt Lake,2026-01,MRSA,Linezolid,112,102,91.1
Salt Lake,2026-01,MRSA,TMP-SMX,112,95,84.8
Salt Lake,2026-01,MRSA,Vancomycin,112,106,94.6
Salt Lake,2026-01,Pseudomonas aeruginosa,Cefepime,176,128,72.7
Salt Lake,2026-01,Pseudomonas aeruginosa,Ceftazidime,176,143,81.2
Salt Lake,2026-01,Pseudomonas aeruginosa,Ciprofloxacin,176,127,72.2
Salt Lake,2026-01,Pseudomonas aeruginosa,Meropenem,176,135,76.7
Salt Lake,2026-01,Pseudomonas aeruginosa,Piperacillin-Tazobactam,176,139,79.0
Salt Lake,2026-01,Staphylococcus aureus,Cephalexin,163,154,94.5
Salt Lake,2026-01,Staphylococcus aureus,Clindamycin,163,129,79.1
Salt Lake,2026-01,Staphylococcus aureus,Doxycycline,163,142,87.1
Salt Lake,2026-01,Staphylococcus aureus,Oxacillin,163,158,96.9
Salt Lake,2026-01,Staphylococcus aureus,TMP-SMX,163,152,93.3
Salt Lake,2026-01,Staphylococcus aureus,Vancomycin,163,152,93.3
Salt Lake,2026-01,Streptococcus pneumoniae,Amoxicillin,74,63,85.1
Salt Lake,2026-01,Streptococcus pneumoniae,Azithromycin,74,44,59.5
Salt Lake,2026-01,Streptococcus pneumoniae,Ceftriaxone,74,64,86.5
Salt Lake,2026-01,Streptococcus pneumoniae,Doxycycline,74,62,83.8
Salt Lake,2026-01,Streptococcus pneumoniae,Levofloxacin,74,72,97.3
Salt Lake,2026-01,Streptococcus pneumoniae,Penicillin,74,61,82.4
Salt Lake,2026-02,Enterococcus species,Ampicillin,126,77,61.1
Salt Lake,2026-02,Enterococcus species,Linezolid,126,121,96.0
Salt Lake,2026-02,Enterococcus species,Nitrofurantoin,126,89,70.6
Salt Lake,2026-02,Enterococcus species,Vancomycin,126,100,79.4
Salt Lake,2026-02,Escherichia coli,Amoxicillin-Clavulanate,603,381,63.2
Salt Lake,2026-02,Escherichia coli,Ampicillin,603,242,40.1
Salt Lake,2026-02,Escherichia coli,Ceftriaxone,603,509,84.4
Salt Lake,2026-02,Escherichia coli,Ciprofloxacin,603,355,58.9
Salt Lake,2026-02,Escherichia coli,Fosfomycin,603,535,88.7
Salt Lake,2026-02,Escherichia coli,Nitrofurantoin,603,531,88.1
Salt Lake,2026-02,Escherichia coli,TMP-SMX,603,425,70.5
Salt Lake,2026-02,Haemophilus influenzae,Amoxicillin,41,23,56.1
Salt Lake,2026-02,Haemophilus influenzae,Amoxicillin-Clavulanate,41,38,92.7
Salt Lake,2026-02,Haemophilus influenzae,Azithromycin,41,38,92.7
Salt Lake,2026-02,Haemophilus influenzae,Ceftriaxone,41,38,92.7
Salt Lake,2026-02,Haemophilus influenzae,Doxycycline,41,37,90.2
Salt Lake,2026-02,Klebsiella pneumoniae,Amoxicillin-Clavulanate,183,133,72.7
Salt Lake,2026-02,Klebsiella pneumoniae,Ceftriaxone,183,149,81.4
Salt Lake,2026-02,Klebsiella pneumoniae,Ciprofloxacin,183,142,77.6
Salt Lake,2026-02,Klebsiella pneumoniae,Ertapenem,183,163,89.1
Salt Lake,2026-02,Klebsiella pneumoniae,Nitrofurantoin,183,67,36.6
Salt Lake,2026-02,MRSA,Clindamycin,124,67,54.0
Salt Lake,2026-02,MRSA,Doxycycline,124,104,83.9
Salt Lake,2026-02,MRSA,Linezolid,124,115,92.7
Salt Lake,2026-02,MRSA,TMP-SMX,124,103,83.1
Salt Lake,2026-02,MRSA,Vancomycin,124,117,94.4
Salt Lake,2026-02,Pseudomonas aeruginosa,Cefepime,160,125,78.1
Salt Lake,2026-02,Pseudomonas aeruginosa,Ceftazidime,160,129,80.6
Salt Lake,2026-02,Pseudomonas aeruginosa,Ciprofloxacin,160,116,72.5
Salt Lake,2026-02,Pseudomonas aeruginosa,Meropenem,160,127,79.4
Salt Lake,2026-02,Pseudomonas aeruginosa,Piperacillin-Tazobactam,160,132,82.5
Salt Lake,2026-02,Staphylococcus aureus,Cephalexin,191,180,94.2
Salt Lake,2026-02,Staphylococcus aureus,Clindamycin,191,152,79.6
Salt Lake,2026-02,Staphylococcus aureus,Doxycycline,191,174,91.1
Salt Lake,2026-02,Staphylococcus aureus,Oxacillin,191,181,94.8
Salt Lake,2026-02,Staphylococcus aureus,TMP-SMX,191,172,90.1
Salt Lake,2026-02,Staphylococcus aureus,Vancomycin,191,178,93.2
Salt Lake,2026-02,Streptococcus pneumoniae,Amoxicillin,44,42,95.5
Salt Lake,2026-02,Streptococcus pneumoniae,Azithromycin,44,29,65.9
Salt Lake,2026-02,Streptococcus pneumoniae,Ceftriaxone,44,39,88.6
Salt Lake,2026-02,Streptococcus pneumoniae,Doxycycline,44,39,88.6
Salt Lake,2026-02,Streptococcus pneumoniae,Levofloxacin,44,42,95.5
Salt Lake,2026-02,Streptococcus pneumoniae,Penicillin,44,37,84.1
Salt Lake,2026-03,Enterococcus species,Ampicillin,125,83,66.4
Salt Lake,2026-03,Enterococcus species,Linezolid,125,117,93.6
Salt Lake,2026-03,Enterococcus species,Nitrofurantoin,125,82,65.6
Salt Lake,2026-03,Enterococcus species,Vancomycin,125,98,78.4
Salt Lake,2026-03,Escherichia coli,Amoxicillin-Clavulanate,615,389,63.3
Salt Lake,2026-03,Escherichia coli,Ampicillin,615,239,38.9
Salt Lake,2026-03,Escherichia coli,Ceftriaxone,615,523,85.0
Salt Lake,2026-03,Escherichia coli,Ciprofloxacin,615,400,65.0
Salt Lake,2026-03,Escherichia coli,Fosfomycin,615,563,91.5
Salt Lake,2026-03,Escherichia coli,Nitrofurantoin,615,539,87.6
Salt Lake,2026-03,Escherichia coli,TMP-SMX,615,443,72.0
Salt Lake,2026-03,Haemophilus influenzae,Amoxicillin,39,26,66.7
Salt Lake,2026-03,Haemophilus influenzae,Amoxicillin-Clavulanate,39,37,94.9
Salt Lake,2026-03,Haemophilus influenzae,Azithromycin,39,31,79.5
Salt Lake,2026-03,Haemophilus influenzae,Ceftriaxone,39,37,94.9
Salt Lake,2026-03,Haemophilus influenzae,Doxycycline,39,34,87.2
Salt Lake,2026-03,Klebsiella pneumoniae,Amoxicillin-Clavulanate,200,149,74.5
Salt Lake,2026-03,Klebsiella pneumoniae,Ceftriaxone,200,156,78.0
Salt Lake,2026-03,Klebsiella pneumoniae,Ciprofloxacin,200,165,82.5
Salt Lake,2026-03,Klebsiella pneumoniae,Ertapenem,200,173,86.5
Salt Lake,2026-03,Klebsiella pneumoniae,Nitrofurantoin,200,64,32.0
Salt Lake,2026-03,MRSA,Clindamycin,134,80,59.7
Salt Lake,2026-03,MRSA,Doxycycline,134,120,89.6
Salt Lake,2026-03,MRSA,Linezolid,134,127,94.8
Salt Lake,2026-03,MRSA,TMP-SMX,134,105,78.4
Salt Lake,2026-03,MRSA,Vancomycin,134,129,96.3
Salt Lake,2026-03,Pseudomonas aeruginosa,Cefepime,187,152,81.3
Salt Lake,2026-03,Pseudomonas aeruginosa,Ceftazidime,187,158,84.5
Salt Lake,2026-03,Pseudomonas aeruginosa,Ciprofloxacin,187,131,70.1
Salt Lake,2026-03,Pseudomonas aeruginosa,Meropenem,187,149,79.7
Salt Lake,2026-03,Pseudomonas aeruginosa,Piperacillin-Tazobactam,187,156,83.4
Salt Lake,2026-03,Staphylococcus aureus,Cephalexin,172,166,96.5
Salt Lake,2026-03,Staphylococcus aureus,Clindamycin,172,135,78.5
Salt Lake,2026-03,Staphylococcus aureus,Doxycycline,172,157,91.3
Salt Lake,2026-03,Staphylococcus aureus,Oxacillin,172,164,95.3
Salt Lake,2026-03,Staphylococcus aureus,TMP-SMX,172,157,91.3
Salt Lake,2026-03,Staphylococcus aureus,Vancomycin,172,158,91.9
Salt Lake,2026-03,Streptococcus pneumoniae,Amoxicillin,60,52,86.7
Salt Lake,2026-03,Streptococcus pneumoniae,Azithromycin,60,36,60.0
Salt Lake,2026-03,Streptococcus pneumoniae,Ceftriaxone,60,53,88.3
Salt Lake,2026-03,Streptococcus pneumoniae,Doxycycline,60,46,76.7
Salt Lake,2026-03,Streptococcus pneumoniae,Levofloxacin,60,57,95.0
Salt Lake,2026-03,Streptococcus pneumoniae,Penicillin,60,43,71.7
Salt Lake,2026-04,Enterococcus species,Ampicillin,143,92,64.3
Salt Lake,2026-04,Enterococcus species,Linezolid,143,134,93.7
Salt Lake,2026-04,Enterococcus species,Nitrofurantoin,143,112,78.3
Salt Lake,2026-04,Enterococcus species,Vancomycin,143,105,73.4
Salt Lake,2026-04,Escherichia coli,Amoxicillin-Clavulanate,578,360,62.3
Salt Lake,2026-04,Escherichia coli,Ampicillin,578,216,37.4
Salt Lake,2026-04,Escherichia coli,Ceftriaxone,578,493,85.3
Salt Lake,2026-04,Escherichia coli,Ciprofloxacin,578,374,64.7
Salt Lake,2026-04,Escherichia coli,Fosfomycin,578,516,89.3
Salt Lake,2026-04,Escherichia coli,Nitrofurantoin,578,496,85.8
Salt Lake,2026-04,Escherichia coli,TMP-SMX,578,436,75.4
Salt Lake,2026-04,Haemophilus influenzae,Amoxicillin,36,23,63.9
Salt Lake,2026-04,Haemophilus influenzae,Amoxicillin-Clavulanate,36,32,88.9
Salt Lake,2026-04,Haemophilus influenzae,Azithromycin,36,24,66.7
Salt Lake,2026-04,Haemophilus influenzae,Ceftriaxone,36,33,91.7
Salt Lake,2026-04,Haemophilus influenzae,Doxycycline,36,33,91.7
Salt Lake,2026-04,Klebsiella pneumoniae,Amoxicillin-Clavulanate,165,120,72.7
Salt Lake,2026-04,Klebsiella pneumoniae,Ceftriaxone,165,131,79.4
Salt Lake,2026-04,Klebsiella pneumoniae,Ciprofloxacin,165,140,84.8
Salt Lake,2026-04,Klebsiella pneumoniae,Ertapenem,165,146,88.5
Salt Lake,2026-04,Klebsiella pneumoniae,Nitrofurantoin,165,58,35.2
Salt Lake,2026-04,MRSA,Clindamycin,108,64,59.3
Salt Lake,2026-04,MRSA,Doxycycline,108,89,82.4
Salt Lake,2026-04,MRSA,Linezolid,108,100,92.6
Salt Lake,2026-04,MRSA,TMP-SMX,108,89,82.4
Salt Lake,2026-04,MRSA,Vancomycin,108,100,92.6
Salt Lake,2026-04,Pseudomonas aeruginosa,Cefepime,140,109,77.9
Salt Lake,2026-04,Pseudomonas aeruginosa,Ceftazidime,140,113,80.7
Salt Lake,2026-04,Pseudomonas aeruginosa,Ciprofloxacin,140,106,75.7
Salt Lake,2026-04,Pseudomonas aeruginosa,Meropenem,140,110,78.6
Salt Lake,2026-04,Pseudomonas aeruginosa,Piperacillin-Tazobactam,140,109,77.9
Salt Lake,2026-04,Staphylococcus aureus,Cephalexin,150,139,92.7
Salt Lake,2026-04,Staphylococcus aureus,Clindamycin,150,118,78.7
Salt Lake,2026-04,Staphylococcus aureus,Doxycycline,150,128,85.3
Salt Lake,2026-04,Staphylococcus aureus,Oxacillin,150,140,93.3
Salt Lake,2026-04,Staphylococcus aureus,TMP-SMX,150,135,90.0
Salt Lake,2026-04,Staphylococcus aureus,Vancomycin,150,135,90.0
Salt Lake,2026-04,Streptococcus pneumoniae,Amoxicillin,57,49,86.0
Salt Lake,2026-04,Streptococcus pneumoniae,Azithromycin,57,35,61.4
Salt Lake,2026-04,Streptococcus pneumoniae,Ceftriaxone,57,46,80.7
Salt Lake,2026-04,Streptococcus pneumoniae,Doxycycline,57,40,70.2
Salt Lake,2026-04,Streptococcus pneumoniae,Levofloxacin,57,53,93.0
Salt Lake,2026-04,Streptococcus pneumoniae,Penicillin,57,42,73.7
Utah,2024-05,Enterococcus species,Ampicillin,74,44,59.5
Utah,2024-05,Enterococcus species,Linezolid,74,71,95.9
Utah,2024-05,Enterococcus species,Nitrofurantoin,74,64,86.5
Utah,2024-05,Enterococcus species,Vancomycin,74,55,74.3
Utah,2024-05,Escherichia coli,Amoxicillin-Clavulanate,351,227,64.7
Utah,2024-05,Escherichia coli,Ampicillin,351,152,43.3
Utah,2024-05,Escherichia coli,Ceftriaxone,351,309,88.0
Utah,2024-05,Escherichia coli,Ciprofloxacin,351,254,72.4
Utah,2024-05,Escherichia coli,Fosfomycin,351,322,91.7
Utah,2024-05,Escherichia coli,Nitrofurantoin,351,326,92.9
Utah,2024-05,Escherichia coli,TMP-SMX,351,251,71.5
Utah,2024-05,Haemophilus influenzae,Amoxicillin,21,14,66.7
Utah,2024-05,Haemophilus influenzae,Amoxicillin-Clavulanate,21,20,95.2
Utah,2024-05,Haemophilus influenzae,Azithromycin,21,17,81.0
Utah,2024-05,Haemophilus influenzae,Ceftriaxone,21,19,90.5
Utah,2024-05,Haemophilus influenzae,Doxycycline,21,20,95.2
Utah,2024-05,Klebsiella pneumoniae,Amoxicillin-Clavulanate,103,65,63.1
Utah,2024-05,Klebsiella pneumoniae,Ceftriaxone,103,93,90.3
Utah,2024-05,Klebsiella pneumoniae,Ciprofloxacin,103,83,80.6
Utah,2024-05,Klebsiella pneumoniae,Ertapenem,103,96,93.2
Utah,2024-05,Klebsiella pneumoniae,Nitrofurantoin,103,30,29.1
Utah,2024-05,MRSA,Clindamycin,53,31,58.5
Utah,2024-05,MRSA,Doxycycline,53,44,83.0
Utah,2024-05,MRSA,Linezolid,53,49,92.5
Utah,2024-05,MRSA,TMP-SMX,53,47,88.7
Utah,2024-05,MRSA,Vancomycin,53,53,100.0
Utah,2024-05,Pseudomonas aeruginosa,Cefepime,87,71,81.6
Utah,2024-05,Pseudomonas aeruginosa,Ceftazidime,87,70,80.5
Utah,2024-05,Pseudomonas aeruginosa,Ciprofloxacin,87,70,80.5
Utah,2024-05,Pseudomonas aeruginosa,Meropenem,87,76,87.4
Utah,2024-05,Pseudomonas aeruginosa,Piperacillin-Tazobactam,87,72,82.8
Utah,2024-05,Staphylococcus aureus,Cephalexin,126,125,99.2
Utah,2024-05,Staphylococcus aureus,Clindamycin,126,100,79.4
Utah,2024-05,Staphylococcus aureus,Doxycycline,126,116,92.1
Utah,2024-05,Staphylococcus aureus,Oxacillin,126,119,94.4
Utah,2024-05,Staphylococcus aureus,TMP-SMX,126,118,93.7
Utah,2024-05,Staphylococcus aureus,Vancomycin,126,126,100.0
Utah,2024-05,Streptococcus pneumoniae,Amoxicillin,22,21,95.5
Utah,2024-05,Streptococcus pneumoniae,Azithromycin,22,16,72.7
Utah,2024-05,Streptococcus pneumoniae,Ceftriaxone,22,22,100.0
Utah,2024-05,Streptococcus pneumoniae,Doxycycline,22,20,90.9
Utah,2024-05,Streptococcus pneumoniae,Levofloxacin,22,19,86.4
Utah,2024-05,Streptococcus pneumoniae,Penicillin,22,16,72.7
Utah,2024-06,Enterococcus species,Ampicillin,83,56,67.5
Utah,2024-06,Enterococcus species,Linezolid,83,79,95.2
Utah,2024-06,Enterococcus species,Nitrofurantoin,83,66,79.5
Utah,2024-06,Enterococcus species,Vancomycin,83,66,79.5
Utah,2024-06,Escherichia coli,Amoxicillin-Clavulanate,370,247,66.8
Utah,2024-06,Escherichia coli,Ampicillin,370,159,43.0
Utah,2024-06,Escherichia coli,Ceftriaxone,370,333,90.0
Utah,2024-06,Escherichia coli,Ciprofloxacin,370,260,70.3
Utah,2024-06,Escherichia coli,Fosfomycin,370,352,95.1
Utah,2024-06,Escherichia coli,Nitrofurantoin,370,340,91.9
Utah,2024-06,Escherichia coli,TMP-SMX,370,268,72.4
Utah,2024-06,Haemophilus influenzae,Amoxicillin,14,5,35.7
Utah,2024-06,Haemophilus influenzae,Amoxicillin-Clavulanate,14,11,78.6
Utah,2024-06,Haemophilus influenzae,Azithromycin,14,11,78.6
Utah,2024-06,Haemophilus influenzae,Ceftriaxone,14,12,85.7
Utah,2024-06,Haemophilus influenzae,Doxycycline,14,12,85.7
Utah,2024-06,Klebsiella pneumoniae,Amoxicillin-Clavulanate,95,75,78.9
Utah,2024-06,Klebsiella pneumoniae,Ceftriaxone,95,83,87.4
Utah,2024-06,Klebsiella pneumoniae,Ciprofloxacin,95,73,76.8
Utah,2024-06,Klebsiella pneumoniae,Ertapenem,95,86,90.5
Utah,2024-06,Klebsiella pneumoniae,Nitrofurantoin,95,31,32.6
Utah,2024-06,MRSA,Clindamycin,56,37,66.1
Utah,2024-06,MRSA,Doxycycline,56,52,92.9
Utah,2024-06,MRSA,Linezolid,56,53,94.6
Utah,2024-06,MRSA,TMP-SMX,56,47,83.9
Utah,2024-06,MRSA,Vancomycin,56,54,96.4
Utah,2024-06,Pseudomonas aeruginosa,Cefepime,83,64,77.1
Utah,2024-06,Pseudomonas aeruginosa,Ceftazidime,83,69,83.1
Utah,2024-06,Pseudomonas aeruginosa,Ciprofloxacin,83,65,78.3
Utah,2024-06,Pseudomonas aeruginosa,Meropenem,83,72,86.7
Utah,2024-06,Pseudomonas aeruginosa,Piperacillin-Tazobactam,83,68,81.9
Utah,2024-06,Staphylococcus aureus,Cephalexin,106,100,94.3
Utah,2024-06,Staphylococcus aureus,Clindamycin,106,94,88.7
Utah,2024-06,Staphylococcus aureus,Doxycycline,106,98,92.5
Utah,2024-06,Staphylococcus aureus,Oxacillin,106,103,97.2
Utah,2024-06,Staphylococcus aureus,TMP-SMX,106,100,94.3
Utah,2024-06,Staphylococcus aureus,Vancomycin,106,100,94.3
Utah,2024-06,Streptococcus pneumoniae,Amoxicillin,26,22,84.6
Utah,2024-06,Streptococcus pneumoniae,Azithromycin,26,16,61.5
Utah,2024-06,Streptococcus pneumoniae,Ceftriaxone,26,26,100.0
Utah,2024-06,Streptococcus pneumoniae,Doxycycline,26,23,88.5
Utah,2024-06,Streptococcus pneumoniae,Levofloxacin,26,24,92.3
Utah,2024-06,Streptococcus pneumoniae,Penicillin,26,22,84.6
Utah,2024-07,Enterococcus species,Ampicillin,88,59,67.0
Utah,2024-07,Enterococcus species,Linezolid,88,82,93.2
Utah,2024-07,Enterococcus species,Nitrofurantoin,88,71,80.7
Utah,2024-07,Enterococcus species,Vancomycin,88,70,79.5
Utah,2024-07,Escherichia coli,Amoxicillin-Clavulanate,345,236,68.4
Utah,2024-07,Escherichia coli,Ampicillin,345,133,38.6
Utah,2024-07,Escherichia coli,Ceftriaxone,345,294,85.2
